# t	M_D	M_d	R_out	R_C	R_68	R_95	M_acc
# yr	g	g	AU	AU	AU	AU	Msun/yr
5.248000000000000000e+04	9.911767082804800471e+31	8.993874425259750742e+29	1.556766486985424535e+03	1.511633086100769958e+02	1.867792649319374902e+02	4.663080411823503937e+02	3.259346935370891672e-09
5.495400000000000000e+04	9.910171155286633369e+31	8.937659845555873694e+29	1.558342625522885101e+03	1.512121869655431396e+02	1.878724688435945325e+02	4.671708408567050128e+02	3.263870213450843376e-09
5.754300000000000000e+04	9.908498718441911200e+31	8.879475135186267578e+29	1.558342625522885101e+03	1.512631383328131278e+02	1.889688626439630923e+02	4.688988326219482019e+02	3.268090332800961409e-09
6.025500000000000000e+04	9.906744514852453530e+31	8.819291195115567712e+29	1.558342625522885101e+03	1.513165427836790684e+02	1.900684463330431413e+02	4.697640247128366013e+02	3.272097076038177223e-09
6.309500000000000000e+04	9.904905244280437211e+31	8.757154600374499868e+29	1.558342625522885101e+03	1.513725123876808141e+02	1.911712199108346226e+02	4.706300142759026812e+02	3.275936082479045482e-09
6.606900000000000000e+04	9.902976982612653122e+31	8.693096573147442960e+29	1.559919561532524312e+03	1.514313960438715299e+02	1.922771833773375931e+02	4.723643858185686781e+02	3.279439056394688580e-09
6.918300000000000000e+04	9.900955828859692886e+31	8.627154723982772255e+29	1.559919561532524312e+03	1.514928949796352811e+02	1.933863367325521097e+02	4.732327677981685383e+02	3.282609244707119279e-09
7.244300000000000000e+04	9.898837906513580590e+31	8.559372175783532032e+29	1.559919561532524312e+03	1.515573537392686774e+02	1.944986799764780869e+02	4.749719241739017548e+02	3.285527385035973009e-09
7.585700000000000000e+04	9.896618063649446068e+31	8.489756368786781848e+29	1.561497295014341262e+03	1.516251649311340373e+02	1.956142131091155250e+02	4.758426985700352816e+02	3.288140640252583465e-09
7.943200000000000000e+04	9.894291821946058610e+31	8.418341822807245810e+29	1.561497295014341262e+03	1.516960337367248997e+02	1.972934938494057917e+02	4.775866397788357176e+02	3.290357267886313898e-09
8.317600000000000000e+04	9.891854078055991321e+31	8.345148818003161812e+29	1.561497295014341262e+03	1.517703490969385314e+02	1.984170017038219385e+02	4.784598065915028542e+02	3.292211543364055852e-09
8.709600000000000000e+04	9.889300406667854486e+31	8.270222770437570001e+29	1.563075825968335948e+03	1.518484889325700067e+02	2.001082445267802541e+02	4.802085326333705098e+02	3.293756113771635312e-09
9.120099999999998545e+04	9.886625108174277649e+31	8.193576145768889254e+29	1.563075825968335948e+03	1.519301841822170047e+02	2.012397271029751380e+02	4.819604485639496829e+02	3.295007462254569304e-09
9.549900000000000000e+04	9.883823164242828119e+31	8.115246413110220166e+29	1.564655154394508827e+03	1.520160643376181895e+02	2.029429320086015309e+02	4.837155543832404874e+02	3.295820202840905864e-09
1.000000000000000000e+05	9.880888284532573397e+31	8.035240685080314081e+29	1.564655154394508827e+03	1.521058732817429870e+02	2.046533141638287816e+02	4.854738500912426389e+02	3.296403513860487935e-09
1.047120000000000000e+05	9.877815517124477347e+31	7.953608120267514929e+29	1.566235280292859215e+03	1.522002533620647000e+02	2.063708735686568616e+02	4.872353356879562511e+02	3.296532417245477409e-09
1.096470000000000000e+05	9.874597339039910678e+31	7.870334998562522639e+29	1.566235280292859215e+03	1.522989905602570673e+02	2.080956102230857994e+02	4.890000111733815515e+02	3.296420260816931014e-09
1.148150000000000000e+05	9.871227599601340554e+31	7.785445820286432434e+29	1.567816203663387114e+03	1.524028103587096723e+02	2.098275241271155949e+02	4.907678765475181422e+02	3.295855358945652678e-09
1.202260000000000000e+05	9.867700629022240862e+31	7.698868856630552068e+29	1.567816203663387114e+03	1.525115056544877632e+02	2.115666152807462197e+02	4.925389318103662504e+02	3.293919011592199915e-09
1.258920000000000000e+05	9.864010891221820920e+31	7.609968370853278272e+29	1.569397924506093432e+03	1.526256516206870231e+02	2.133128836839777023e+02	4.943131769619258193e+02	3.290130238543207478e-09
1.318250000000000000e+05	9.860151509205851053e+31	7.517919348693352140e+29	1.570980442820977714e+03	1.527447644767689781e+02	2.150663293368100426e+02	4.960906120021969059e+02	3.287909388103493277e-09
1.380380000000000000e+05	9.856110855367587689e+31	7.423428930891513921e+29	1.570980442820977714e+03	1.528689044123678968e+02	2.174154214844099329e+02	4.978712369311796238e+02	3.288298191524110377e-09
1.445430000000000000e+05	9.851879335626542724e+31	7.327995349976998037e+29	1.572563758608039734e+03	1.529992638367207007e+02	2.191856140529775701e+02	5.005481553659873839e+02	3.288629543469139307e-09
1.513560000000000000e+05	9.847447756428117121e+31	7.232265913781322857e+29	1.574147871867279719e+03	1.531361034314001870e+02	2.215570354215579982e+02	5.023367550167488389e+02	3.287691524915254847e-09
1.584890000000000000e+05	9.842810129265826567e+31	7.136320283200339282e+29	1.574147871867279719e+03	1.532793893128708476e+02	2.233439749058609038e+02	5.050256355342248753e+02	3.285735106379950963e-09
1.659580000000000000e+05	9.837957543260189583e+31	7.040041959392035439e+29	1.575732782598696758e+03	1.534299292703813933e+02	2.257377254954216710e+02	5.068222099067648401e+02	3.283083121037378829e-09
1.737800000000000000e+05	9.832880231255527099e+31	6.943323054933279777e+29	1.577318490802292445e+03	1.535877810543902058e+02	2.281442356398284517e+02	5.095230525069089822e+02	3.279894736502249775e-09
